Input	../Output/Countries/ZMB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	21
beta0	4.22893	error	0.0789844
beta1	-0.0612695	error	0.00677146

X	Y	Error	Weight
0	3.76783	0.194718	1
1	3.75787	0.194976	1
2	4.27069	0.182895	1
3	4.24235	0.183505	1
4	4.11087	0.186416	1
5	4.24031	0.183549	1
6	4.25662	0.183197	1
7	3.85621	0.192473	1
8	4.00993	0.188748	1
9	3.41069	0.204659	1
10	3.63759	0.198173	1
11	3.5389	0.200917	1
12	3.17208	0.212216	1
13	3.12298	0.213878	1
14	3.05131	0.216375	1
15	3.47019	0.202896	1
16	3.30637	0.207862	1
17	2.97405	0.219168	1
18	2.97405	0.219168	1
19	2.97405	0.219168	1
20	3.18399	0.211819	1
21	3.18399	0.211819	1
22	1.51973	0.306597	0
23	1.51973	0.306597	0
24	1.51973	0.306597	0
25	1.51973	0.306597	0
26	1.51973	0.306597	0
27	2.76361	0.227359	0
28	2.76361	0.227359	0
29	2.76361	0.227359	0
30	2.76361	0.227359	0
31	3.50083	0.202007	0
32	3.64508	0.197969	0
33	3.64881	0.197868	0
34	3.2581	0.209396	0
35	3.37711	0.205674	0
36	3.41069	0.204659	0
37	3.42936	0.204101	0
38	2.74541	0.228112	0
39	2.34459	0.246841	0
40	2.33078	0.247571	0
41	1.92527	0.272399	0
42	2.33078	0.247571	0
43	2.3979	0.244082	0
44	2.4485	0.241547	0
45	2.66924	0.231343	0
46	2.66924	0.231343	0
47	2.89829	0.222014	0
48	2.98133	0.2189	0
49	2.81625	0.225225	0
50	3.01695	0.217604	0
51	2.95938	0.21971	0
52	2.66924	0.231343	0
53	2.66924	0.231343	0
54	2.37155	0.245434	0
55	2.21299	0.254075	0
56	3.7612	0.194889	0
57	3.62623	0.198483	0
58	3.62623	0.198483	0
59	3.62623	0.198483	0
60	3.62623	0.198483	0
61	3.62623	0.198483	0
62	3.62623	0.198483	0
