ISO-alpha3 Code,country,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
ALB,Albania,18.414046151216198,18.3374286648255,18.126781783776092,16.98307472064796,10.454484838602289,8.886645240555435,7.617755395989303,6.4248471825520195,5.096214010029598
AND,Andorra,14.394643781211016,14.287919151435624,13.65654013681827,12.457861623505337,11.115196252623353,10.394058090193846,9.156084100463518,7.40954392874876,5.345709203732887
ARE,United Arab Emirates,21.50370681281551,21.070662406352294,20.613549992183067,20.289338756082927,19.677462143548855,17.37475177171452,12.31389228249937,7.837441617108186,4.546879628810605
ARG,Argentina,16.279912759083352,15.939819329245985,15.336576435056967,14.136584921460297,11.03093896496578,9.484808626174255,7.847253756322775,6.169152934409389,4.523665640735493
ARM,Armenia,17.097410213694047,16.970363186421906,16.680650442381776,16.034566768307243,12.030359661762015,10.075287577025614,8.327217359077618,6.851628420247539,5.521405422830975
ATG,Antigua and Barbuda,19.134224116277963,18.813487693654267,17.605662641524997,15.701069036757016,12.628173998583678,11.104439218539271,9.206558970681074,7.089175742973422,4.8708850224619775
AUS,Australia,15.332956502554968,15.134686567010794,14.752761274097566,13.946253637075003,11.421591542159327,10.15440578569544,8.681910753464944,7.2526543020842915,5.674272230994122
AUT,Austria,16.006840015278772,15.942806875684028,15.694139799506917,14.99840461245602,11.87154572542908,10.784519455080025,9.395846931429338,7.950129918415301,6.277210938701264
AZE,Azerbaijan,20.38488261588554,20.25252118212832,20.004479375902694,19.041115625337373,13.148764387575703,11.064342096922095,9.226620264850064,7.6365689993159505,5.656054079570066
BEL,Belgium,13.630339451576301,13.410827259563723,13.135668199214674,12.455941762954787,11.47322768684555,10.089265949154147,8.837120529780833,7.282177109354034,6.086492588660653
BEN,Benin,26.874603143026235,25.982617999842898,20.850519571556852,16.45342234062145,11.054416702261165,9.584007800962494,8.067704721953213,6.559529363108168,4.97383948167945
BFA,Burkina Faso,26.38450046504426,25.48435892690098,21.101722043449982,15.956195254945698,9.61722440442205,7.905578038254826,6.427441454994849,5.154232166174839,3.9248835532145776
BGD,Bangladesh,21.54064720346405,21.307435126072846,19.74083974695321,15.215501081740817,9.877576741596037,7.834835902831949,6.151953001030883,4.67311759730617,3.203298951634484
BGR,Bulgaria,13.374330888504682,13.152794776490166,12.862507277986225,12.476720284111998,11.519356323499448,10.548347020479307,9.222994703510626,7.664703023383328,5.974423709582489
BHR,Bahrain,18.638750160586483,18.197178952108725,17.639604324727603,17.152584971133358,16.290199534231576,14.495517251504877,10.529052899418755,7.385420362070142,4.838579997738344
BHS,Bahamas,20.405701876112023,20.29332753810194,19.912165575447588,18.79459790598814,10.923704546479486,9.514312674260903,8.200423493889849,6.886218101507218,5.3549946844902045
BIH,Bosnia and Herzegovina,16.652715857183875,16.615778856345088,16.34458754655476,15.036519043188616,8.023108244276111,6.584456423645201,5.736278746722185,5.0390590357494265,4.292181040439804
BLR,Belarus,14.91678705319422,14.70652152447133,14.496382191461791,14.107456111978934,12.36760463863181,10.839089067206093,9.079777227921399,7.4022593876438325,5.621791349010447
BLZ,Belize,24.27446735445411,23.88170386030917,21.9434515055058,17.69002404485782,9.965205651750274,8.389327984050006,6.8528404419483895,5.373880523582346,3.83738418336513
BOL,Bolivia (Plurinational State of),20.660306689745553,20.25953491365878,19.09303316180068,16.664279174279017,11.198650995744314,9.438067228687567,7.793087579188418,6.271007047026222,4.790410458284489
BRA,Brazil,19.499095161217756,19.35795072366725,18.79309675981786,17.12882931194784,11.849584964566736,9.882654836237641,7.895072288978721,6.078329004820834,4.3588425182145425
BRN,Brunei Darussalam,18.77112662131461,18.513009280793717,17.93067132132615,16.55996391086859,12.84924629857024,10.478575907696754,8.093793611502397,5.946560324077506,3.831595153366351
BTN,Bhutan,19.820265362617352,19.41453420712098,18.435789730894804,16.858183287784758,12.805784128834858,10.36797732991893,8.115969521773874,6.2671588931450435,4.618621531041717
BWA,Botswana,21.890679240068827,21.536150762059613,20.27323699969297,16.27645783681589,11.538066964667749,8.545801711001172,6.310055740605431,4.553121318202806,3.1295924442684058
CAN,Canada,15.17236712399821,15.01071906747474,14.758814742162674,14.160265021113826,11.87998027099087,10.678200930745227,9.232948319530042,7.735078319355955,6.190315143010953
CHE,Switzerland,16.32488187811711,16.260335766774382,15.990376052008006,15.14079956436282,12.600586325222523,11.547244533136745,10.112307620568567,8.606015937613877,6.958455698696963
