code,Region Name,Sub-region Name,country,slope,error,number_of_points,start_date,end_date,r0,r0_error,pf_eigenvalue,pf_eigenvalue [0],"pf_eigenvalue [0, 1]","pf_eigenvalue [0, 1, 2]","pf_eigenvalue [0, 1, 2, 3]","pf_eigenvalue [0, 1, 2, 3, 4]","pf_eigenvalue [0, 1, 2, 3, 4, 5]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6]","pf_eigenvalue [0, 1, 2, 3, 4, 5, 6, 7]"
ALB,Europe,Southern Europe,Albania,0.0107557,0.00033635699999999996,147,2020-06-13,2020-11-06,1.0596199730957085,0.001913342784499238,18.414046151216198,18.3374286648255,18.126781783776085,16.983074720647963,10.454484838602287,8.886645240555435,7.6177553959893025,6.42484718255202,5.096214010029598
AND,Europe,Southern Europe,Andorra,-0.0701912,0.00428635,37,2020-03-28,2020-05-03,0.6794221653126127,0.016355024791048108,14.394643781211016,14.287919151435625,13.65654013681827,12.457861623505336,11.11519625262335,10.394058090193846,9.156084100463518,7.40954392874876,5.345709203732887
ARE,Asia,Western Asia,United Arab Emirates,0.142361,0.00687416,20,2020-03-25,2020-04-13,2.096446698620082,0.07219072216187586,21.503706812815512,21.070662406352294,20.613549992183067,20.289338756082927,19.67746214354885,17.37475177171452,12.313892282499369,7.837441617108187,4.546879628810605
ARG,Americas,Latin America and the Caribbean,Argentina,0.038775699999999996,0.00034584300000000003,134,2020-03-22,2020-08-02,1.2302233345893374,0.00224971483988989,16.279912759083352,15.939819329245985,15.336576435056967,14.136584921460294,11.03093896496578,9.484808626174255,7.847253756322775,6.1691529344093885,4.523665640735493
ARM,Asia,Western Asia,Armenia,0.0407558,0.0007815239999999999,84,2020-03-28,2020-06-19,1.2431646785426131,0.005131855581589573,17.097410213694047,16.970363186421906,16.680650442381776,16.034566768307243,12.030359661762017,10.075287577025614,8.327217359077617,6.85162842024754,5.521405422830975
AUS,Oceania,Australia and New Zealand,Australia,0.193604,0.0116484,14,2020-03-15,2020-03-28,2.701076560755786,0.15360868296136784,15.332956502554968,15.134686567010796,14.752761274097564,13.946253637075007,11.421591542159328,10.15440578569544,8.681910753464944,7.2526543020842915,5.674272230994122
AUT,Europe,Western Europe,Austria,0.18940099999999999,0.00836057,17,2020-03-11,2020-03-27,2.6461593442908797,0.10823545252649194,16.006840015278772,15.942806875684028,15.694139799506914,14.998404612456019,11.87154572542908,10.784519455080023,9.395846931429338,7.950129918415301,6.277210938701264
AZE,Asia,Western Asia,Azerbaijan,0.030914599999999997,0.000551764,105,2020-03-31,2020-07-13,1.180031239309276,0.003457377002856807,20.384882615885537,20.25252118212832,20.00447937590269,19.041115625337373,13.148764387575705,11.064342096922095,9.226620264850064,7.6365689993159505,5.656054079570067
BEL,Europe,Western Europe,Belgium,0.168822,0.00492239,24,2020-03-09,2020-04-01,2.391478667661547,0.05818607212879888,13.6303394515763,13.410827259563725,13.135668199214676,12.455941762954788,11.47322768684555,10.089265949154148,8.837120529780833,7.282177109354035,6.0864925886606525
BEN,Africa,Sub-Saharan Africa,Benin,-0.0240471,0.0645408,5,2020-05-10,2020-05-14,0.8774658039853585,0.30989732711867224,26.87460314302623,25.982617999842898,20.85051957155685,16.45342234062145,11.054416702261165,9.584007800962494,8.067704721953213,6.559529363108168,4.97383948167945
